지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),연,월이름,월,계절,계절_index
서울,1933-04-01,10.2,16.5,61,55.4,3.3,1933,4월,4,봄,1
서울,1933-05-01,16.3,22.3,70,170.8,3.3,1933,5월,5,봄,1
서울,1933-06-01,20.7,26.2,73,201.3,2.9,1933,6월,6,여름,2
서울,1933-07-01,25.5,30.3,80,395.3,3,1933,7월,7,여름,2
서울,1933-08-01,24.1,28.3,82,225,3,1933,8월,8,여름,2
서울,1933-09-01,20.1,25.5,72,205.8,2.9,1933,9월,9,가을,3
서울,1933-10-01,13,18.5,67,40.7,2.4,1933,10월,10,가을,3
서울,1933-11-01,5.5,10.7,68,33.1,2.5,1933,11월,11,가을,3
서울,1933-12-01,0.4,4.2,68,32,2.4,1933,12월,12,겨울,4
서울,1934-01-01,-8.3,-3.6,57,5.3,2.1,1934,1월,1,겨울,4
서울,1934-02-01,-2.3,2.1,62,19.6,2.8,1934,2월,2,겨울,4
서울,1934-03-01,2,6.9,58,50.5,4.3,1934,3월,3,봄,1
서울,1934-04-01,9.1,15.3,60,87.4,3.5,1934,4월,4,봄,1
서울,1934-05-01,16.9,23.3,70,82.7,2.8,1934,5월,5,봄,1
서울,1934-06-01,20.2,25.2,76,149.3,3.2,1934,6월,6,여름,2
서울,1934-07-01,23.8,27.2,85,356.9,3.3,1934,7월,7,여름,2
서울,1934-08-01,24.1,28,84,184.1,3,1934,8월,8,여름,2
서울,1934-09-01,19.3,24.6,74,202.7,2.6,1934,9월,9,가을,3
서울,1934-10-01,11.7,18,64,14.6,2.3,1934,10월,10,가을,3
서울,1934-11-01,4.3,9.3,61,57.3,2.8,1934,11월,11,가을,3
서울,1934-12-01,0.8,5.2,68,34.2,2,1934,12월,12,겨울,4
서울,1935-01-01,-3.2,1,64,12.1,2.6,1935,1월,1,겨울,4
서울,1935-02-01,-0.2,5.5,58,4.2,2.5,1935,2월,2,겨울,4
서울,1935-03-01,5.1,10.4,56,12.2,3.5,1935,3월,3,봄,1
서울,1935-04-01,10.3,16.8,60,66.9,3.3,1935,4월,4,봄,1
서울,1935-05-01,16,22.2,64,90.9,3.4,1935,5월,5,봄,1
서울,1935-06-01,20.1,25.7,73,169.3,3.3,1935,6월,6,여름,2
서울,1935-07-01,23.8,28.5,81,530.3,2.9,1935,7월,7,여름,2
서울,1935-08-01,25,30.1,78,117.2,2.4,1935,8월,8,여름,2
서울,1935-09-01,20.3,27,68,85.2,2.4,1935,9월,9,가을,3
서울,1935-10-01,14.6,20.6,68,44.1,2.6,1935,10월,10,가을,3
서울,1935-11-01,6.6,11.6,68,53.2,2.5,1935,11월,11,가을,3
서울,1935-12-01,-3.9,0.7,57,16.7,2.8,1935,12월,12,겨울,4
서울,1936-01-01,-8.8,-4,52,4.5,2.9,1936,1월,1,겨울,4
서울,1936-02-01,-4.4,0.1,62,19,2.8,1936,2월,2,겨울,4
서울,1936-03-01,-0.2,5,59,27,3.5,1936,3월,3,봄,1
서울,1936-04-01,9.1,15.2,66,141.2,3.9,1936,4월,4,봄,1
서울,1936-05-01,15.8,22.5,67,27.4,3.2,1936,5월,5,봄,1
서울,1936-06-01,20.7,26.5,73,65.1,2.6,1936,6월,6,여름,2
서울,1936-07-01,23.6,28.4,80,210.2,3,1936,7월,7,여름,2
서울,1936-08-01,22.7,26.9,85,668.8,3,1936,8월,8,여름,2
서울,1936-09-01,20.1,25.3,81,252.4,2.4,1936,9월,9,가을,3
서울,1936-10-01,13.2,20.1,65,3.7,2.5,1936,10월,10,가을,3
서울,1936-11-01,5.7,11,65,44.5,2.8,1936,11월,11,가을,3
